person_capacity,bedrooms,amenity_count,room_type_encoded,host_multi_listing,dist_km,is_superhost_int,review_score_composite,kaggle_median_lifestyle,kaggle_median_metro_dist_km,host_tenure_days,capacity_x_dist,bedrooms_x_amenity,dist_km_sq,log_dist_km,inv_dist_km,host_response_rate_num,host_acceptance_rate_num,review_velocity_l30d,availability_rate,neighbourhood_median_price,dist_x_score,superhost_x_score,room_x_capacity,tenure_x_multi,amenity_per_bedroom,listing_index
0.03191867,0.08104382,0.0024141462,-0.006823655,0.0050681033,0.12776954,0.02832651,0.0316384,-0.0013522351,-0.004842025,-0.002087337,0.0042210785,0.10410275,0.042199317,0.013919344,0.037777334,0.06674793,0.0040470734,-0.04374394,0.008243511,0.14891067,0.010047399,0.004603158,-0.020552319,0.011261693,-0.0061706393,69155
-0.038761094,-0.06296607,-0.017024804,-0.0029844749,-0.008698736,-0.08706148,0.012106603,0.09333779,0.0005406022,0.0017449517,0.021424603,-0.0011284761,-0.02749394,-0.021198217,-0.0073844926,-0.016613813,-0.014284752,0.005921827,-0.051528584,-0.04090705,0.15528719,-0.012940207,0.05687745,0.0033885026,-0.072662294,-0.019694343,65286
-0.068005346,-0.040033367,-0.011714364,-0.010134898,0.004483832,0.11787451,-0.009473979,-0.15461938,-0.0006656182,-0.0015476499,0.04295108,0.00029106333,-0.047769934,0.039911848,0.009931718,0.024643881,-0.015736587,-0.012471926,0.07581184,-0.016927445,0.149537,0.04120192,-0.013053485,-0.0022741123,0.10703164,-0.0071872203,67593
0.13063653,0.25970277,0.01749115,-0.0060439166,0.007684567,0.028800156,0.027298559,-0.13426137,0.000111301444,0.00044113878,-0.021828102,-0.01715356,0.1795886,0.014723329,-0.0006224427,0.0014143527,-0.0100078825,-0.00057774864,-0.06385315,0.025045976,-0.04033076,-0.016419651,0.0046890303,0.022366405,0.07951444,-0.02107649,67012
0.017349536,-0.05054964,-0.016822249,-0.009898044,0.00499038,0.08949281,-0.016695675,-0.10908813,-0.00096770463,-0.0046750447,0.010310392,0.00774308,-0.043020654,0.031308632,0.007287503,0.0056049153,-0.016038354,-0.013722311,0.10452165,-0.048932422,0.12410194,-0.007394608,-0.018449869,-0.002778492,0.08098293,-0.014754067,66327
0.021628551,-0.062487196,-0.0036338537,-0.0067487,0.0070776963,-0.041897856,0.011309202,0.11971257,0.00038950914,0.001345113,0.039782997,1.47647015e-05,-0.027234014,-0.008229427,-0.0013414703,-0.0064617507,-0.009946175,0.004187988,-0.056476913,0.007010281,-0.06844897,-0.010247201,0.043736406,-0.004528487,0.05097426,-0.013989143,74586
0.02469596,-0.05123128,0.034877993,-0.005046423,0.004884622,-0.091355465,0.034722798,-0.030135022,0.00028091323,0.0005831172,0.059625827,0.011957591,0.01815724,-0.032096952,-0.011126838,-0.013254684,0.14260796,-0.0034027675,0.043158658,0.001362536,-0.25611892,-0.0027279148,0.012279827,0.0028007827,0.037325542,0.021522101,68526
0.051444132,0.075086914,-0.010039678,-0.005135423,-0.007788432,-0.06514626,-0.011733486,-0.17008317,-0.00034895045,0.0012408515,-0.0019357963,0.013786746,-0.06659698,-0.012701856,0.0005157935,-0.013260683,-0.006837641,-0.012441785,-0.10729744,-0.013673806,0.15648957,-0.011778118,-0.020517342,-0.010728397,-0.077607155,0.05057809,77514
-0.067982815,-0.05684198,-0.008157344,-0.010498767,0.0036958759,0.098269224,0.015217198,0.12573327,-0.0014258332,-0.0035076877,-0.05248129,0.00089814345,-0.02937605,0.03673029,0.006876511,0.021620879,-0.017912358,8.237374e-06,0.036854602,0.0047439705,0.13586408,0.01066177,0.03917816,-0.0005447547,0.037175737,-0.009025828,72008
0.012479976,-0.06731919,-0.008203812,-0.0068531446,-0.013839863,0.046558693,0.011998602,0.028167829,0.00048962905,0.0018591885,-0.035157766,-0.0010309492,-0.014484431,0.017038658,0.004898643,0.008677419,-0.015429892,-0.004529818,-0.05502075,-0.007522485,0.17081442,0.019453973,0.0150005575,-0.004625524,-0.110005595,-0.002470561,70220
-0.04537462,-0.063082725,-0.02681914,-0.0035711506,-0.014301373,-0.07725756,-0.008385764,-0.06065401,0.00046144828,0.0010357697,-0.0025710103,0.011401791,-0.04254334,-0.02768574,-0.007649387,-0.01812016,-0.012336728,-0.066022806,-0.045724787,-0.012981296,-0.055280212,-0.009192751,-0.007887662,0.0030881525,-0.06429834,-0.011969457,69545
