listing_id,neighbourhood,risk_probability,high_risk_flag,risk_band
1319602204501522237,ΠΕΤΡΑΛΩΝΑ,0.198,0,Low
1319612153634996614,ΑΚΡΟΠΟΛΗ,0.1646,0,Low
1319631025770612271,ΛΥΚΑΒΗΤΤΟΣ,0.2159,0,Low
1319667693685610766,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.5175,0,Moderate
1319667892963681759,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,0.8357,1,High
1319738927643105217,ΠΑΓΚΡΑΤΙ,0.9209,1,High
1320053679068996321,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.9778,1,High
1320072814044440007,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.2787,0,Low
1320094270289136254,ΙΛΙΣΙΑ,0.5121,0,Moderate
1320120787830056881,ΛΥΚΑΒΗΤΤΟΣ,0.352,0,Low
1320144833487732824,ΝΕΟΣ ΚΟΣΜΟΣ,0.1722,0,Low
1320153983995376026,ΝΕΟΣ ΚΟΣΜΟΣ,0.161,0,Low
1320201658880252582,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.245,0,Low
1320204862882298888,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,0.4959,0,Moderate
1320233282352089306,ΚΟΛΩΝΑΚΙ,0.2929,0,Low
1320314382062754129,ΛΥΚΑΒΗΤΤΟΣ,0.3679,0,Low
1320324962149164422,ΣΤΑΔΙΟ,0.4156,0,Moderate
1320331489948028645,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0899,0,Low
1320775578763156286,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1507,0,Low
1320792181256672385,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320800311186697532,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320815346974511360,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320826592414277058,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,0.2814,0,Low
1320832765054951242,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320837621477101329,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320840581862485689,ΒΟΤΑΝΙΚΟΣ,0.9428,1,High
1320842302508028164,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320854277425178428,ΚΕΡΑΜΕΙΚΟΣ,0.076,0,Low
1320854551509011407,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320862237114613344,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.0776,0,Low
1320907806914559768,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.3748,0,Low
1320937799200764033,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.9648,1,High
1320940707187583967,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.4825,0,Moderate
1320960867998241736,ΠΑΓΚΡΑΤΙ,0.6645,0,Moderate
1320966128077084261,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.2079,0,Low
1321004749726666699,ΝΕΟΣ ΚΟΣΜΟΣ,0.6437,0,Moderate
1321017643839383356,ΠΑΓΚΡΑΤΙ,0.3889,0,Low
