neighbourhood,city,n_listings,median_price_eur,mean_price_eur,mean_log_price,mean_review_rating,mean_composite,mean_cleanliness,pct_entire_home,pct_superhost,pct_multi_listing,pct_at_risk,mean_availability_365,mean_occupancy,mean_revenue_eur,mean_dist_km,mean_sentiment,pct_has_revenue,pct_has_sentiment,dist_zone,listing_share,supply_demand_imbalance,competitive_saturation_score,opportunity_score,price_confidence,price_confidence_note
Louvre,paris,2702,80.0,115.0821613619541,4.617107680755536,0.9389837157660992,9.533769763138416,7.211274509803922,0.8789785344189489,0.2557364914877868,0.5888230940044411,,158.8896625602571,86.14997321906803,7185.695232994108,1.2414952257980298,0.6605297823950466,0.6909696521095485,0.3915618060695781,near_1_3km,0.0223658833365063,38.5185,0.4556,0.7654,mixed,49% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Luxembourg,paris,3658,80.0,111.83952979770366,4.577250450557106,0.937478950246036,9.52110604155276,7.342952671755724,0.8572990705303445,0.1998359759431383,0.5595954073264079,,148.157154340836,71.82435691318328,5770.466639871383,1.4369069153337812,0.683551241729666,0.6801530891197376,0.3531984691088026,near_1_3km,0.0302792010529016,23.7207,0.4157,0.5483,mixed,47% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Menilmontant,paris,3704,63.5,73.1104211663067,4.187497308514217,0.9387553995680346,9.532811636069114,9.155507559395248,0.8498920086393088,0.0974622030237581,0.1787257019438445,,47.44703389830509,25.88276836158192,1918.47104519774,3.778648925327186,,0.3822894168466522,0.0,mid_3_5km,0.0306599673865357,8.4419,0.1462,0.1518,observed,0% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Ménilmontant,paris,3023,80.0,78.22146873966258,4.364932502590479,0.954726430697982,9.573686999669205,4.686268788682582,0.9100231558054912,0.1693681773073106,0.4267284154813099,,123.3661925239828,54.85047965597089,4302.802844856104,3.529937458843829,0.6958015262965817,1.0,0.7297386701951704,mid_3_5km,0.0250229701429529,21.9201,0.3238,0.4285,estimated,100% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Observatoire,paris,4456,80.0,84.68727558348294,4.354193253672693,0.9389124775583484,9.522576929982046,7.420564516129032,0.8422351885098743,0.1586624775583483,0.3781418312387791,,120.71747831887926,57.200800533689126,4408.137531687792,3.242126762232082,0.6746964265446118,0.6728007181328546,0.3323608617594255,mid_3_5km,0.0368846691885538,15.508,0.2904,0.3862,mixed,45% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Opera,paris,3124,90.0,112.62708066581304,4.563787580606311,0.9366101152368758,9.5542302496799,9.18021766965429,0.8012163892445583,0.1526888604353393,0.3306658130601793,,95.818401937046,45.90476190476191,3514.480225988701,2.9281657959722365,,0.396606914212548,0.0,near_1_3km,0.0258590005711495,17.7519,0.2595,0.3393,observed,0% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Opéra,paris,2751,80.0,78.35496183206106,4.361994412432751,0.948529262086514,9.556113195201744,4.706351288056206,0.8545983278807706,0.2784442021083242,0.6183206106870229,,150.63904034896402,73.45765176299527,5759.311523082515,2.6047660395455976,0.6921310287891771,1.0,0.7611777535441657,near_1_3km,0.0227714822571166,32.2586,0.4824,0.6139,estimated,100% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Palais-Bourbon,paris,3464,80.0,110.03521939953812,4.565550731498352,0.9411472286374134,9.532958112009236,7.252241663915484,0.898094688221709,0.2066974595842956,0.5395496535796767,,148.7453798767967,70.20533880903491,5725.997667351129,2.924120473772992,0.6690346265991253,0.7029445727482679,0.36864896073903,mid_3_5km,0.0286733604284449,24.4845,0.4064,0.5511,mixed,50% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Pantheon,paris,2119,94.0,117.45351580934404,4.609006715264293,0.9340773949976404,9.54548857951864,9.162340726757904,0.8442661632845682,0.1392166116092496,0.3190184049079754,,93.88727678571428,53.73772321428572,4237.9296875,0.9745279764400911,,0.4228409627182633,0.0,centre_0_1km,0.0175400839341439,30.6371,0.2471,0.4916,observed,0% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Panthéon,paris,1857,80.0,78.36833602584814,4.36638701252012,0.9449294561120086,9.524660204631124,4.674847074468086,0.9041464728056005,0.2859450726978998,0.6278944534194938,,142.3564889606893,80.26332794830371,6328.459881529348,1.405271970791176,0.660164105875487,1.0,0.7905223478729133,near_1_3km,0.0153713713382281,50.0,0.4911,0.7929,estimated,100% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Passy,paris,7106,80.0,101.65261750633267,4.50518915572881,0.9401187728679988,9.528232746974387,7.08582738820254,0.9024767801857584,0.1607092597804672,0.5049254151421334,,159.0330739299611,54.9192607003891,4392.662155642023,5.596495429579979,0.6593428753188643,0.7233323951590206,0.359836757669575,far_5km_plus,0.0588201210174738,9.3368,0.3672,0.3371,mixed,56% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Popincourt,paris,10986,80.0,83.7842253777535,4.361375147171991,0.9448580010922992,9.563815428727471,7.414617910447761,0.9055161114145276,0.1683051156016748,0.3410704533042054,,109.35066371681415,63.383849557522126,4902.620367809735,2.2311145816293543,0.6956535755403259,0.6582923721099582,0.3514472965592572,near_1_3km,0.0909369335066096,6.9701,0.272,0.3555,mixed,44% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Reuilly,paris,4932,80.0,79.75871857258718,4.3239217141001145,0.94126601784266,9.542774148418491,7.371576411197798,0.8580697485806975,0.1618004866180048,0.3479318734793187,,113.99358778625954,59.34961832061069,4526.200610687023,3.148148668507121,0.6766364836416482,0.6640308191403081,0.3440794809407948,mid_3_5km,0.0408247729887674,14.5376,0.2735,0.3872,mixed,47% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Temple,paris,5290,80.0,104.85122873345937,4.5463966259559365,0.9377739130434782,9.522174026465027,7.374338537387017,0.9376181474480152,0.2300567107750472,0.5234404536862004,,146.32971317181844,83.27206906154275,6663.820245057087,1.2172233487595798,0.6989890798896609,0.67882797731569,0.3665406427221172,near_1_3km,0.0437881283679196,19.017,0.4061,0.5761,mixed,45% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Vaugirard,paris,9484,80.0,88.9772247996626,4.410774321715156,0.9406644875579924,9.52848397300717,7.235712055715658,0.8711514129059469,0.1854702657106706,0.399514972585407,,124.79536854850916,62.55849856213107,4903.98640230059,4.312005936903244,0.6447998296745823,0.6966469843947701,0.3657739350485027,mid_3_5km,0.0785040849605575,7.9688,0.3139,0.3633,mixed,50% of listings have estimated prices (IAB25 neighbourhood-median-derived)
Élysée,paris,2004,80.0,79.9625748502994,4.381417344097985,0.9410718562874252,9.505813473053893,4.6747860962566845,0.9006986027944112,0.2609780439121756,0.7634730538922155,,192.69760479041915,82.89221556886227,6593.121836327346,3.565680625787223,0.6705701070121259,1.0,0.7280439121756487,mid_3_5km,0.0165881681000587,49.9707,0.5625,0.8118,estimated,100% of listings have estimated prices (IAB25 neighbourhood-median-derived)
